,s*_l10_2_MIITRA2.nii.gz,s*_l1_Seg_4cl_S0_WBednoCSF_2_MIITRA2.nii.gz,s*_l2_Seg_4cl_S0_WBednoCSF_2_MIITRA2.nii.gz,s*_l3_Seg_4cl_S0_WBednoCSF_2_MIITRA2.nii.gz,s*_l9_2_MIITRA2.nii.gz,s*_r10_2_MIITRA2.nii.gz,s*_r1_Seg_4cl_S0_WBednoCSF_2_MIITRA2.nii.gz,s*_r2_Seg_4cl_S0_WBednoCSF_2_MIITRA2.nii.gz,s*_r3_Seg_4cl_S0_WBednoCSF_2_MIITRA2.nii.gz,s*_r9_2_MIITRA2.nii.gz,sub
0,0.29411764705882354,0.5384615384615384,0.32770745428973275,0.4447983014861996,0.26834381551362685,0.34545454545454546,0.4197183098591549,0.34571062740076824,0.5020011435105775,0.3169811320754717,dtifit_d_S0_bfc_sub8_masked_2_MIITRA2
1,0.19036954087346025,0.490272373540856,0.4561161022805805,0.5198720877112837,0.3893129770992366,0.21164021164021163,0.44711538461538464,0.4241001564945227,0.5765488991295443,0.15074024226110364,dtifit_d_S0_bfc_sub6_masked_2_MIITRA2
2,0.367816091954023,0.5933774834437087,0.4280397022332506,0.47928730512249446,0.35714285714285715,0.22497420020639836,0.5740987983978638,0.4029535864978903,0.5434412265758092,0.1997828447339848,dtifit_d_S0_bfc_sub19_masked_2_MIITRA2
3,0.25176803394625175,0.5439624853458382,0.46496398166339226,0.5475135401280158,0.1791907514450867,0.210989010989011,0.4319371727748691,0.4507989907485282,0.5660980810234542,0.14689265536723164,dtifit_d_S0_bfc_sub17_masked_2_MIITRA2
4,0.2531017369727047,0.5005793742757821,0.4095139607032058,0.5196036191296854,0.4407894736842105,0.20573689416419386,0.4599745870393901,0.3411662315056571,0.5215011727912432,0.192964824120603,dtifit_d_S0_bfc_sub11_masked_2_MIITRA2
5,0.2527881040892193,0.37988826815642457,0.39567936327458786,0.5060728744939271,0.3558282208588957,0.21262458471760798,0.0,0.3687258687258687,0.5412892914224827,0.2991596638655462,dtifit_d_S0_bfc_sub1_masked_2_MIITRA2
6,0.24864864864864866,0.5584415584415584,0.42032967032967034,0.5053868756121449,0.22712933753943218,0.26244343891402716,0.3855755894590846,0.36363636363636365,0.538160469667319,0.13118527042577677,dtifit_d_S0_bfc_sub3_masked_2_MIITRA2
7,0.21711899791231734,0.49772727272727274,0.45706174591909154,0.5303678357570573,0.2236842105263158,0.24691358024691357,0.4243845252051583,0.4215413184772516,0.5770750988142292,0.22248803827751196,dtifit_d_S0_bfc_sub7_masked_2_MIITRA2
8,0.280794701986755,0.4897466827503016,0.45576407506702415,0.5420890260026443,0.42073170731707316,0.26902173913043476,0.4562268803945746,0.4039408866995074,0.5763888888888888,0.26456692913385826,dtifit_d_S0_bfc_sub13_masked_2_MIITRA2
9,0.1720647773279352,0.5268542199488491,0.40625,0.4859714134462679,0.23895253682487724,0.19390581717451524,0.44148936170212766,0.38909541511771994,0.5272013460459899,0.240990990990991,dtifit_d_S0_bfc_sub22_masked_2_MIITRA2
10,0.2529832935560859,0.5461847389558233,0.3889668069191211,0.5021016431027895,0.26842105263157895,0.1873873873873874,0.4850574712643678,0.3397612488521579,0.5231422505307856,0.15856236786469344,dtifit_d_S0_bfc_sub10_masked_2_MIITRA2
11,0.38478747203579416,0.4381625441696113,0.4244322631166797,0.4946455889852116,0.43686006825938567,0.2243797195253506,0.42857142857142855,0.3531960996749729,0.5259907359752959,0.22105263157894736,dtifit_d_S0_bfc_sub24_masked_2_MIITRA2
12,0.26064516129032256,0.5835140997830802,0.41611479028697573,0.4670400689358035,0.28516377649325625,0.2608695652173913,0.46054054054054056,0.4862665310274669,0.5850746268656717,0.19190140845070422,dtifit_d_S0_bfc_sub18_masked_2_MIITRA2
13,0.26700898587933247,0.36462585034013606,0.45072115384615385,0.48218029350104824,0.3983402489626556,0.23875968992248062,0.45874125874125876,0.4104803493449782,0.549580661075481,0.26153846153846155,dtifit_d_S0_bfc_sub2_masked_2_MIITRA2
14,0.28679245283018867,0.4368932038834951,0.451071761416589,0.5025853154084798,0.4114285714285714,0.35590551181102364,0.43507214206437295,0.40209424083769635,0.571915861284821,0.29322268326417705,dtifit_d_S0_bfc_sub23_masked_2_MIITRA2
